timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
0,1,-11.624628272293798,0.0,0.15634417876531057,0.0,-11.780972451059109,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
1,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
2,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
3,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
4,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
5,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
6,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
7,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
8,1,-1.6508921638844636,0.0,-1.65089216385664,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8367978145793475,0.4716834753953725,0.5791610412039218,1.0000000000092746,1.0,-0.0,1.0,0.0
9,1,0.730799245821017,0.0,0.7307992458488405,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.5599440653863703,-0.2087997845230469,0.0764149189787808,1.0000000000092746,1.0,-0.0,1.0,0.0
